1	4
1	36
1	4
2	1
3	1
4	1
5	1
6	7
6	45
6	92
6	7
7	6
8	6
9	10
10	26
10	93
11	16
11	60
11	26
11	28
11	93
11	58
11	9
12	11
13	11
4	11
14	11
15	11
16	11
17	11
18	11
19	11
20	11
21	23
22	23
23	24
23	21
23	36
23	21
23	24
22	23
24	23
21	23
13	12
9	12
12	13
12	78
12	18
12	60
12	32
12	2
12	78
12	36
12	13
12	34
12	18
12	3
12	44
13	12
25	93
26	93
13	93
25	93
27	93
28	93
19	93
29	93
30	93
31	93
21	93
32	13
32	33
32	35
32	24
32	18
32	37
32	26
13	32
33	32
34	32
16	32
35	32
36	32
37	32
2	26
26	28
26	2
33	26
5	26
34	26
38	26
39	26
24	26
19	26
40	26
37	26
20	26
41	26
42	43
42	34
3	42
43	42
18	42
2	44
44	47
44	2
45	44
46	44
25	44
47	44
4	44
48	44
34	44
15	44
49	44
50	44
17	44
51	44
52	44
53	44
54	44
37	44
20	44
55	44
56	44
41	44
57	44
2	45
45	87
45	47
45	79
25	45
58	45
59	45
52	45
16	13
60	13
3	13
13	16
13	60
3	13
16	13
9	25
14	25
25	14
25	2
25	9
25	14
25	94
14	25
3	34
3	31
3	31
3	34
61	3
18	3
8	3
36	3
30	3
31	3
60	19
60	36
60	30
60	37
60	36
60	37
60	94
5	60
16	60
19	60
55	60
62	47
47	91
34	47
15	47
62	47
51	47
31	47
57	47
63	95
38	95
63	95
58	94
64	94
38	94
49	94
27	94
18	94
8	94
37	94
31	94
65	94
4	2
4	28
4	58
66	43
43	58
43	54
43	79
66	43
67	43
15	33
33	15
33	15
68	33
15	33
58	27
58	28
58	38
58	34
58	54
58	35
58	27
34	58
61	58
15	58
38	58
35	58
27	58
69	58
53	58
54	58
37	58
31	58
66	58
70	58
20	58
71	96
71	79
71	96
15	71
72	71
68	18
68	18
68	70
36	5
5	2
5	36
36	5
48	74
48	74
73	48
28	48
74	48
37	48
66	48
70	48
75	76
76	79
76	87
77	76
52	76
75	76
34	24
2	34
34	2
34	28
34	24
61	34
38	34
35	34
27	34
24	34
19	34
31	34
20	34
36	14
73	14
14	2
14	36
73	14
61	97
37	78
78	52
37	78
79	52
79	87
79	8
80	79
81	79
62	79
82	79
83	79
52	79
54	79
37	79
84	79
75	79
85	79
86	79
75	87
87	67
87	75
87	86
87	75
52	87
54	87
67	87
75	87
86	87
28	88
88	28
28	88
2	36
2	36
15	2
38	2
19	2
30	2
38	53
19	73
73	19
73	19
19	73
9	36
9	66
28	9
66	9
16	55
16	55
16	30
37	16
55	16
54	98
54	98
89	77
81	90
81	90
90	81
27	35
27	35
27	28
27	54
84	62
84	62
20	24
28	54
28	66
28	66
28	54
37	28
66	28
70	28
55	28
70	18
70	18
21	99
21	99
66	83
66	83
40	100
40	100
72	101
72	101
66	74
66	74
53	91
91	53
66	54
